ACTIVITY,BP,HR,CIRCLUATION
4,76,540,8870
3,10,79,317
0,17,143,1061
4,48,322,4619
2,31,93,545
3,38,157,1519
2,20,249,3630
2,72,104,457
4,72,142,844
0,36,372,5220
0,41,150,1463
4,31,216,2677
3,17,196,1885
4,66,254,3885
5,42,180,2054
3,29,247,2754
4,10,148,729
4,41,156,654
1,141,247,3373
0,64,279,2755
0,73,398,6186
5,111,171,1747
2,15,96,804
2,48,234,1581
3,13,109,689
2,124,88,318
4,25,138,554
3,40,196,1997
5,11,76,147
3,43,315,5844
0,51,296,6061
2,50,51,132
5,43,180,2054
5,34,179,1626
0,58,112,485
0,60,309,4155
3,28,216,2677
4,70,101,249
2,21,156,1364
0,92,168,2121
5,26,148,729
0,147,245,2392
4,50,272,3539
0,57,142,659
5,50,180,2054
3,6,63,166
5,38,131,271
0,39,235,3787
2,30,249,3630
2,24,216,2677
4,40,180,2054
0,143,242,2607
0,9,97,370
3,28,156,1364
3,82,142,844
4,26,174,1415
2,26,249,3630
5,58,288,2334
0,236,392,5539
0,57,239,3132
0,41,263,2396
4,21,72,340
3,87,172,973
3,62,120,809
3,66,473,14125
5,114,171,1747
5,80,540,8870
5,26,131,271
1,12,79,317
3,5,63,166
0,19,181,2385
0,58,292,5213
3,174,308,6057
0,47,271,4919
0,25,234,3052
0,13,146,698
3,172,308,6057
2,78,449,5537
4,24,102,764
2,85,128,693
4,62,101,249
4,10,75,166
1,147,247,3373
2,91,449,5537
2,71,449,5537
3,16,109,689
1,24,85,343
1,12,88,292
0,54,302,3372
0,24,126,658
2,22,249,3630
0,52,312,2830
4,22,102,764
2,32,157,1519
3,14,109,689
0,129,172,1116
2,42,234,1581
5,57,223,2822
4,55,205,1751
4,35,77,205
5,60,298,2196
3,186,308,6057
0,46,147,1307
0,73,365,7585
2,31,183,931
3,21,216,2677
0,65,345,4255
4,81,128,693
3,40,315,5844
4,80,320,3466
0,15,117,617
0,37,85,205
0,12,120,429
0,36,123,152
5,45,390,7459
4,52,288,2334
2,0,163,1162
3,13,109,689
3,32,156,1364
0,182,497,10398
5,67,254,3885
2,42,52,133
4,47,157,1519
2,50,93,545
2,22,249,3630
4,144,540,18067
2,75,104,457
1,15,88,292
0,69,449,8352
3,20,188,2599
2,25,249,3630
5,119,237,2672
0,187,315,5630
5,22,102,516
4,100,159,2181
4,10,148,729
0,47,181,1362
0,125,190,2118
0,16,197,2257
4,45,93,545
4,28,132,1513
4,36,216,2677
4,30,194,1521
2,22,54,165
3,93,388,6290
4,32,71,249
2,11,79,317
3,38,154,587
4,68,172,973
0,40,229,2750
2,20,54,165
4,24,138,554
5,106,462,11563
0,42,162,589
0,29,199,1752
4,92,163,1162
3,12,79,317
2,76,352,6744
3,80,128,693
5,81,163,1162
4,11,119,395
5,79,468,9276
0,87,427,6406
0,158,195,1521
3,51,272,3539
0,119,94,224
5,65,288,2334
0,37,142,521
2,30,249,3630
2,83,352,6744
5,44,180,2054
4,54,294,4249
3,80,172,973
3,22,96,804
4,61,473,14125
4,59,272,3539
3,89,120,809
3,94,120,809
4,29,194,1521
1,29,85,343
3,44,234,2464
5,43,262,3211
0,61,96,347
0,126,540,18067
3,30,247,2754
4,21,188,2599
5,59,223,2059
5,69,107,346
3,27,220,3450
5,38,180,2054
0,88,237,2068
2,71,104,457
4,70,101,249
4,96,176,1922
3,80,128,693
4,171,308,6057
4,66,352,6744
0,46,342,8074
0,99,133,887
3,76,142,844
0,133,309,4069
0,17,192,2964
4,26,174,1415
0,23,145,688
5,43,176,1313
3,21,249,3630
3,65,271,4426
2,33,234,1581
0,41,197,2122
4,91,156,1521
0,323,422,5539
3,34,157,1519
4,64,214,1469
4,84,120,809
3,28,166,1111
4,36,188,2599
4,39,174,1415
5,9,119,973
3,85,157,1519
0,171,897,27204
4,42,54,204
2,9,79,292
4,47,67,224
2,74,449,5537
4,26,138,554
2,8,79,292
1,45,145,519
1,13,88,292
5,75,273,2061
4,22,193,2118
0,103,700,26711
3,34,154,587
2,8,33,5
3,38,272,3539
2,20,54,165
4,159,308,6057
3,40,390,7459
4,15,132,806
4,37,131,271
4,111,209,2534
1,24,85,343
0,479,419,7105
4,90,540,8870
0,53,310,4066
0,134,775,23367
4,46,273,2061
0,38,100,422
3,5,63,166
4,15,79,292
0,62,89,399
4,45,156,654
4,25,102,764
5,47,262,3211
2,26,249,3630
3,126,205,1751
0,74,200,1634
2,36,154,587
2,84,172,973
2,49,51,132
0,5,67,339
0,8,128,399
2,38,71,249
5,137,237,2672
2,52,271,4426
5,29,131,271
5,101,537,8350
0,49,106,553
4,21,102,764
3,64,473,14125
3,17,216,2677
2,9,105,765
5,22,132,806
4,65,224,2192
1,20,85,343
2,78,172,973
2,23,88,292
3,54,93,545
0,20,133,973
5,81,172,973
2,74,352,6744
3,35,215,2188
4,61,272,3539
3,26,166,1414
4,55,223,2822
2,53,315,5844
3,99,205,1751
2,91,449,5537
4,27,102,516
3,35,234,2464
4,132,208,1691
4,32,168,772
3,11,79,317
0,53,370,6400
3,12,86,205
1,13,88,292
0,339,448,10961
3,93,136,619
4,88,156,1521
0,59,268,3290
4,56,315,5844
3,21,215,2188
3,42,294,4249
3,25,188,2599
3,24,215,2188
3,62,134,970
0,70,570,12042
4,14,76,147
5,41,180,2054
4,32,254,3885
0,241,335,5636
5,52,223,2822
2,16,79,292
4,62,473,14125
1,143,247,3373
4,88,139,587
2,44,71,249
4,45,247,2754
4,137,540,18067
0,28,106,344
2,41,52,133
3,15,109,689
3,52,271,4426
1,148,247,3373
5,35,262,3211
0,20,157,691
2,61,473,14125
2,12,79,317
4,37,196,1997
3,150,247,3373
3,132,217,2904
2,43,315,5844
3,108,205,1751
0,19,173,1575
0,74,387,4254
0,10,73,64
3,46,235,4905
5,23,76,147
3,17,109,689
5,86,136,619
0,20,135,656
0,5,105,765
3,5,63,166
0,51,433,8473
3,22,166,1111
3,23,215,2188
1,54,67,224
0,16,94,485
0,52,249,2393
5,38,180,2054
0,41,249,4519
3,34,154,587
0,25,154,1743
2,29,188,2599
4,46,156,654
5,46,196,1997
0,106,517,17885
5,53,223,2822
4,48,272,3539
3,6,33,5
0,72,154,1363
3,88,388,6290
3,43,294,4249
4,68,193,2118
3,9,79,292
0,45,248,1524
0,21,149,459
0,26,97,315
4,10,72,340
0,105,145,1066
2,38,71,249
0,17,188,587
5,126,171,1747
0,85,647,23781
5,138,109,486
4,45,223,2822
0,25,157,1307
0,17,177,1313
3,45,67,224
2,28,249,3630
3,18,79,317
2,73,104,457
0,27,222,2327
4,37,166,1414
2,42,235,4905
4,19,102,764
2,9,79,292
4,54,223,2822
0,275,497,6864
3,83,537,8350
4,36,156,1364
0,42,260,3137
0,281,453,12978
0,31,151,769
3,48,51,132
0,42,242,2464
4,51,483,15505
0,171,886,22314
0,113,421,8088
4,84,176,1922
4,69,101,249
3,88,120,809
2,90,449,5537
0,46,120,400
3,38,157,1519
4,28,132,1513
0,4,121,725
3,34,216,2677
0,218,386,10522
2,48,67,224
0,69,369,9818
0,38,182,1993
2,50,93,545
4,80,156,1521
0,6,191,2596
3,12,123,621
5,92,209,2534
2,32,40,100
2,35,154,587
4,118,208,1691
4,45,272,3539
4,6,119,973
4,78,136,619
4,70,101,249
3,72,142,844
4,91,156,1521
0,11,117,553
0,28,106,553
2,90,449,5537
3,18,154,1252
3,51,107,346
0,9,105,580
3,49,224,2192
1,13,88,292
5,67,468,9276
3,79,128,693
4,81,163,1162
0,27,120,458
0,10,118,429
0,13,88,133
0,12,166,1261
0,13,97,454
0,53,282,2133
0,9,88,369
0,64,449,12507
4,92,33,5
4,19,72,340
2,77,104,457
5,21,119,973
4,52,483,15505
3,89,158,1403
4,49,322,4619
0,27,193,774
3,54,271,4426
5,91,209,2534
3,21,196,1885
2,38,52,133
3,57,271,4426
2,84,163,1162
3,65,142,844
2,36,234,2464
0,121,203,938
0,40,345,5525
0,35,116,767
3,8,51,132
0,39,202,1637
2,19,88,292
0,53,258,4710
4,39,71,249
1,147,247,3373
4,90,136,619
3,67,473,14125
3,22,196,1885
3,33,234,2464
0,67,138,977
3,68,540,8870
4,24,174,1415
0,12,109,546
3,34,215,2188
1,8,33,5
4,99,158,1403
3,31,166,1414
3,82,388,6290
3,40,215,2188
4,93,120,809
2,16,123,621
0,45,273,2061
3,69,104,457
4,28,193,2118
3,51,223,2059
0,113,168,1210
4,35,174,1415
1,35,183,931
2,26,51,132
5,14,76,147
4,71,101,249
0,41,171,1465
4,15,148,729
4,102,163,1162
4,39,132,1513
2,43,154,587
4,23,196,1885
0,49,205,980
4,88,176,1922
2,24,249,3630
2,71,352,6744
0,51,194,1312
0,43,307,7203
0,57,357,5958
4,71,388,6290
0,68,359,8597
4,28,123,621
0,28,273,2610
2,28,54,165
0,61,260,3294
0,83,634,20638
0,23,148,1205
0,36,355,5126
0,179,283,3459
4,83,136,619
4,28,131,271
4,18,216,2677
4,25,102,764
2,36,234,2464
4,98,163,1162
4,91,163,1162
2,38,154,587
0,71,378,7096
2,41,52,133
2,11,79,317
0,8,183,895
2,20,54,165
0,76,375,7582
4,20,220,3450
3,27,188,2599
0,39,252,2259
0,87,458,7466
4,50,180,2054
5,9,43,161
4,53,294,4249
0,28,140,771
5,55,294,4249
4,47,93,545
3,20,220,3450
3,36,235,4905
0,79,216,2679
0,89,251,2827
1,20,54,165
0,97,346,5322
0,57,338,2329
4,83,176,1922
0,16,171,1209
2,18,96,804
3,43,264,3217
2,15,88,292
4,24,174,1415
0,13,178,1746
0,21,91,204
0,63,179,1211
4,49,234,1581
2,40,224,2192
4,23,148,729
4,18,102,764
5,91,163,1162
4,31,156,1364
0,28,184,1578
2,32,249,3630
4,44,235,4905
3,19,220,3450
0,98,178,1113
4,25,156,654
4,71,101,249
4,13,72,340
0,11,173,1414
2,7,79,292
2,17,88,292
5,54,315,5844
2,20,54,165
3,80,540,8870
4,34,156,654
0,40,102,689
0,187,374,5026
4,139,540,18067
2,83,352,6744
5,82,468,9276
0,64,388,7464
2,61,473,14125
4,21,40,100
3,33,188,2599
4,82,142,844
0,79,484,8345
2,71,104,457
3,88,403,6746
4,48,315,5844
4,109,205,1751
4,31,179,1626
2,8,105,765
1,8,33,5
3,49,93,545
0,12,133,1027
4,27,102,516
0,13,98,650
3,18,138,554
4,85,176,1922
3,28,174,1415
0,71,466,10102
0,84,368,6522
1,8,33,5
0,75,376,3635
4,89,176,1922
5,52,288,2334
2,45,315,5844
0,63,166,980
2,19,249,3630
4,97,158,1403
0,41,298,3716
4,16,132,806
0,31,158,1361
1,145,247,3373
4,58,224,2192
5,59,288,2334
2,82,449,5537
3,96,537,8350
2,14,79,317
2,6,33,5
0,176,379,5975
2,11,79,317
5,164,308,6057
3,17,148,729
2,161,305,2610
0,86,191,1522
2,67,473,14125
3,39,315,5844
3,85,134,970
2,42,52,133
4,55,223,2822
3,6,63,166
4,50,294,4249
4,15,132,806
3,52,107,346
0,45,130,932
4,21,174,1415
5,90,176,1922
0,22,190,1870
3,62,254,3885
4,147,540,18067
4,52,93,545
0,4,93,486
1,14,88,292
4,25,174,1415
3,31,96,804
2,161,305,2610
0,76,391,5531
2,37,52,133
3,8,79,292
5,75,128,693
3,35,154,587
5,91,468,9276
4,10,33,5
5,33,90,405
4,77,136,619
0,170,348,4438
3,38,71,249
5,67,223,2822
3,96,139,587
3,37,235,4905
0,42,184,1409
0,46,243,2605
3,122,88,318
1,14,88,292
0,45,263,3299
0,68,610,15699
0,98,323,6618
0,47,352,3803
5,84,139,587
1,8,33,5
0,25,129,845
2,18,96,804
0,192,362,5429
0,139,218,2466
4,38,166,1414
2,66,352,6744
4,46,180,2054
0,24,137,850
2,59,271,4426
5,47,483,15505
3,10,63,166
3,60,483,15505
4,131,208,1691
3,38,71,249
5,21,51,102
2,72,352,6744
4,51,390,7459
4,70,320,3466
3,23,138,554
3,81,128,693
0,57,204,1935
3,76,172,973
4,24,166,1414
4,48,322,4619
0,6,82,184
4,37,196,1997
2,71,352,6744
2,67,224,2192
5,32,262,3211
0,20,127,973
4,29,193,2118
4,23,71,249
0,55,291,3802
3,63,473,14125
0,37,251,3131
0,140,327,6621
1,21,54,165
2,93,130,490
1,8,33,5
5,18,82,185
2,75,352,6744
3,42,247,2754
3,80,204,1692
4,64,320,3466
0,41,125,399
0,41,284,4071
2,83,449,5537
0,39,150,655
2,52,67,224
3,23,220,3450
3,164,308,6057
2,101,130,490
3,36,71,249
0,74,386,7345
5,38,179,1626
0,10,78,315
4,27,166,1414
4,22,188,2599
2,29,249,3630
0,46,323,4920
3,17,79,292
2,50,224,2192
3,16,109,689
0,296,492,12664
4,35,156,654
3,69,473,14125
2,42,235,4905
4,76,214,1469
4,31,131,271
0,24,213,736
4,16,220,3450
0,49,443,11717
0,61,374,5435
0,26,241,3453
0,55,307,3717
3,87,128,693
0,77,286,2608
0,33,235,2398
3,76,388,6290
0,140,588,16047
3,96,33,5
2,16,138,554
4,22,102,764
2,57,473,14125
0,18,80,186
1,35,183,931
0,29,159,853
2,42,235,4905
4,34,67,224
2,86,128,693
4,55,272,3539
2,82,128,693
0,80,195,2596
2,51,254,3885
2,57,473,14125
3,77,128,693
3,87,176,1922
3,56,223,2059
0,76,601,20021
0,114,753,19047
4,28,86,205
3,69,388,6290
3,54,223,2059
4,18,132,806
4,96,33,5
3,38,71,249
0,17,93,396
0,48,285,3059
0,112,545,12833
0,39,144,1207
3,37,157,1519
1,146,247,3373
3,20,215,2188
0,50,322,5425
5,43,196,1997
2,82,163,1162
4,26,148,729
4,88,163,1162
3,28,40,100
0,23,286,4803
2,101,130,490
0,118,258,5414
0,14,117,651
3,59,107,346
0,32,149,934
3,96,403,6746
0,15,123,1680
2,20,54,165
0,37,289,6062
0,24,143,1066
1,13,88,292
0,27,279,5938
1,20,54,165
5,68,468,9276
3,26,166,1414
5,27,262,3211
3,36,234,2464
0,56,329,3979
5,43,196,1997
3,45,154,587
0,98,478,12027
0,139,461,10392
0,147,245,2602
3,44,234,2464
5,4,43,161
0,19,186,936
3,175,308,6057
4,24,194,1521
0,33,236,2063
3,40,315,5844
3,35,71,249
2,28,234,1581
0,138,740,29083
4,29,215,2188
4,82,142,844
0,36,141,886
0,151,193,1206
5,57,288,2334
4,127,208,1691
0,61,146,979
4,22,148,729
2,48,271,4426
3,15,138,554
3,18,138,554
0,153,802,23158
3,15,138,554
3,64,223,2059
2,81,163,1162
3,27,193,2118
4,70,101,249
0,10,107,400
0,63,180,1524
3,92,33,5
2,17,88,292
4,24,102,764
0,95,683,18857
0,57,198,1581
0,62,114,296
2,87,130,490
2,99,130,490
0,109,501,14307
0,10,82,344
0,90,230,3205
2,71,352,6744
0,281,482,6638
0,165,610,13977
3,15,123,621
0,52,230,1693
4,64,540,8870
0,22,171,1259
0,63,405,9961
0,45,335,7450
2,18,88,292
4,23,123,621
4,70,107,517
5,70,273,2061
2,29,188,2599
4,25,102,516
2,73,473,14125
0,54,96,206
2,19,54,165
4,57,288,2334
4,83,120,809
4,93,176,1922
5,30,96,804
4,36,216,2677
0,38,280,5737
4,179,308,6057
5,45,93,545
0,49,172,853
4,55,254,3885
3,65,223,2059
3,46,271,4426
2,20,54,165
5,29,253,5112
0,25,263,4808
5,123,237,2672
0,73,162,815
2,16,79,292
2,29,54,165
2,23,249,3630
0,57,250,2681
4,34,272,3539
0,83,536,12508
1,96,33,5
2,18,138,554
3,16,109,689
3,110,537,8350
4,97,158,1403
2,20,88,292
4,29,156,654
4,92,163,1162
3,64,134,970
4,17,72,340
3,46,272,3539
4,99,159,2181
0,30,69,271
0,32,206,1470
0,33,268,3380
2,99,130,490
2,20,54,165
4,40,196,1997
5,74,262,3211
0,94,439,14806
3,97,120,809
0,45,136,590
5,71,254,3885
3,42,51,132
0,43,157,622
0,25,169,1361
0,177,121,928
4,62,223,2822
2,22,96,804
2,23,234,2464
4,18,72,340
0,50,307,4536
4,88,163,1162
2,135,205,1751
4,56,107,517
3,26,105,765
4,36,194,1521
4,93,120,809
3,53,315,5844
4,32,220,3450
5,30,131,271
4,15,148,729
0,16,85,205
4,102,171,1747
3,25,138,554
0,25,124,430
4,82,134,970
3,70,352,6744
4,92,158,1403
0,31,157,1158
5,34,262,3211
0,162,161,1578
3,40,188,2599
4,33,156,654
2,17,88,292
2,39,154,587
0,33,199,1117
1,17,88,292
3,77,540,8870
0,72,298,1529
4,72,156,1521
2,59,473,14125
4,51,288,2334
5,16,76,147
0,4,211,1752
2,46,93,545
3,15,109,689
0,100,380,6517
0,132,161,1523
5,48,223,2822
2,148,247,3373
0,56,284,2762
0,55,498,12195
2,75,104,457
0,22,251,2752
4,82,388,6290
3,46,315,5844
0,24,64,101
5,74,130,694
4,24,102,764
3,72,142,844
0,241,360,8602
0,55,228,1168
4,64,254,3885
3,12,166,1111
3,52,322,4619
5,94,209,2534
3,95,130,490
2,28,51,132
0,71,449,6986
4,13,148,729
0,113,338,5638
3,22,166,1414
4,54,254,3885
4,61,254,3885
4,16,119,973
2,25,88,292
3,30,247,2754
2,71,352,6744
0,124,210,1697
0,16,149,1357
0,46,170,1689
0,129,272,2468
0,47,201,3531
3,41,234,2464
4,162,281,4061
5,109,208,1691
2,25,249,3630
3,19,148,729
2,56,449,5537
0,105,463,8476
0,151,191,1989
5,27,262,3211
4,13,148,729
4,84,176,1922
4,71,101,249
0,23,135,808
0,21,91,169
0,8,95,268
0,33,231,3128
3,44,223,2059
5,30,156,1364
0,57,246,2393
5,39,322,4619
0,87,361,8072
2,31,188,2599
5,36,179,1626
0,34,134,805
0,53,97,171
2,81,130,490
3,85,139,587
0,276,428,9806
0,143,280,2398
0,58,250,3051
0,143,257,2821
0,113,207,2061
5,89,159,2181
4,82,156,1521
5,117,171,1747
2,42,235,4905
0,213,362,5740
4,38,156,654
3,101,537,8350
2,162,305,2610
4,92,33,5
5,62,468,9276
2,104,163,1162
5,20,166,1414
2,28,249,3630
5,58,483,15505
0,183,368,4075
2,28,138,554
2,34,234,2464
4,143,540,18067
5,42,71,249
3,43,93,545
2,98,130,490
3,86,128,693
5,45,176,1313
4,142,540,18067
4,48,93,545
0,154,344,6859
2,16,96,804
0,26,112,431
0,23,170,1071
4,25,102,764
3,88,120,809
0,31,124,584
3,25,247,2754
3,38,134,970
0,190,261,3620
0,35,119,619
3,82,217,2904
4,80,176,1922
3,91,136,619
5,32,52,133
0,32,245,3454
4,49,272,3539
3,24,157,1519
0,64,317,5630
4,24,102,764
0,28,213,3618
4,40,96,804
2,75,128,693
0,5,51,184
5,48,180,2054
4,59,473,14125
0,25,135,613
5,10,76,147
3,6,33,5
0,14,179,1413
0,9,124,767
1,21,85,343
3,16,109,689
3,34,166,1414
5,79,145,1156
0,11,103,398
2,71,449,5537
3,55,272,3539
2,9,79,292
4,125,204,1692
4,54,288,2334
0,58,357,4340
5,65,101,270
4,86,176,1922
3,23,247,2754
4,28,174,1415
3,57,271,4426
0,15,65,295
5,15,88,292
3,60,272,3539
3,20,138,554
2,59,473,14125
4,29,247,2754
1,6,33,5
4,194,362,5847
0,114,617,16781
5,34,179,1626
5,118,208,1691
4,49,264,3217
1,15,88,292
2,44,67,224
5,9,51,102
0,40,237,1311
3,58,142,844
5,57,288,2334
3,18,156,1364
0,35,299,4918
2,15,123,621
3,93,136,619
5,31,102,764
2,20,54,165
0,32,157,1411
2,92,139,587
3,21,220,3450
3,62,272,3539
2,42,71,249
2,81,128,693
0,64,382,5226
3,73,254,3885
0,144,544,10847
3,31,247,2754
3,20,188,2599
0,16,131,454
4,26,174,1415
4,114,171,1747
3,28,157,1519
3,32,234,2464
0,51,286,2394
5,26,220,3450
0,34,296,5313
3,53,235,4905
4,93,33,5
5,26,51,102
0,101,467,7223
3,51,315,5844
5,74,136,619
3,58,134,970
0,53,294,3627
2,33,249,3630
4,93,209,2534
5,79,540,8870
0,47,111,726
1,17,88,292
0,111,420,5230
0,47,51,132
3,27,249,3630
2,83,449,5537
5,58,214,1469
2,47,51,132
0,20,144,1023
5,45,288,2334
1,20,54,165
3,52,271,4426
3,66,473,14125
3,30,247,2754
4,37,180,2054
4,23,102,764
5,34,262,3211
4,83,142,844
0,67,100,366
2,20,88,292
4,100,537,8350
1,148,247,3373
5,146,281,4061
3,6,63,166
2,98,130,490
4,15,72,340
3,82,388,6290
0,15,145,888
5,108,209,2534
4,123,540,18067
0,21,177,1071
4,20,174,1415
0,50,134,852
2,16,138,554
2,86,449,5537
4,79,172,973
3,57,254,3885
1,47,51,132
4,87,176,1922
0,50,291,3883
3,48,67,224
5,20,102,764
0,43,153,1570
3,53,271,4426
2,90,139,587
0,15,113,367
4,24,216,2677
4,17,119,395
4,45,224,2192
0,105,517,10114
0,10,211,1691
4,61,315,5844
4,49,235,4905
4,73,107,517
0,63,168,855
0,88,253,2003
0,20,179,1310
3,10,79,317
2,32,40,100
4,41,194,1521
2,103,449,5537
3,110,537,8350
1,65,449,5537
4,66,254,3885
4,45,93,545
3,26,196,1885
5,71,320,3466
0,66,523,11426
2,8,79,292
3,24,216,2677
0,34,66,270
3,92,33,5
2,98,449,5537
3,49,51,132
0,20,129,929
4,29,194,1521
1,12,86,205
0,49,104,427
5,114,208,1691
0,15,163,1633
3,36,234,2464
0,45,238,3293
0,75,409,7585
0,113,413,8722
2,79,352,6744
5,80,468,9276
4,31,193,2118
2,75,163,1162
3,79,120,809
0,144,322,5630
0,25,123,767
2,33,40,100
4,39,272,3539
0,211,872,30795
2,28,247,2754
4,84,540,8870
4,35,40,100
2,20,54,165
3,119,88,318
3,15,109,689
2,92,33,5
2,17,79,292
0,41,276,3461
0,60,341,4822
3,33,234,2464
5,43,223,2822
3,90,136,619
2,8,33,5
3,14,109,689
3,24,86,205
4,117,208,1691
5,41,180,2054
4,16,132,806
4,89,136,619
4,23,102,764
2,56,224,2192
2,75,449,5537
2,19,138,554
3,20,166,1111
4,24,102,764
0,27,203,2971
2,75,449,5537
5,157,109,486
0,64,300,2139
3,22,220,3450
0,29,305,4428
2,12,79,317
3,67,473,14125
0,28,157,692
0,19,125,485
5,121,208,1691
0,29,210,1115
3,69,104,457
2,95,139,587
2,14,79,317
4,153,281,4061
0,64,237,2901
0,147,294,7952
2,8,79,317
3,41,216,2677
0,132,261,2828
0,114,222,1876
5,11,75,166
5,116,171,1747
3,26,174,1415
0,16,92,370
2,54,67,224
3,160,308,6057
2,45,271,4426
3,173,308,6057
1,16,85,343
4,67,101,249
0,111,329,3888
3,63,271,4426
3,28,247,2754
2,138,217,2904
1,35,183,931
2,92,33,5
2,94,449,5537
0,17,89,372
4,84,176,1922
4,15,132,806
5,74,320,3466
3,21,86,205
2,95,473,14125
3,12,148,729
3,19,215,2188
4,31,216,2677
0,92,162,622
4,108,537,8350
3,35,71,249
2,20,138,554
0,23,114,460
4,27,262,3211
3,161,305,2610
2,82,128,693
0,10,90,371
3,176,308,6057
5,11,196,1885
4,138,540,18067
3,176,308,6057
3,5,63,166
2,112,205,1751
2,49,234,1581
4,52,315,5844
5,52,320,3466
0,63,323,6399
0,40,187,1638
3,44,322,4619
4,130,208,1691
4,48,272,3539
3,18,138,554
2,80,128,693
4,49,288,2334
0,51,254,5407
3,86,120,809
3,47,235,4905
2,9,79,292
4,44,254,3885
0,12,105,459
0,50,278,2607
3,100,537,8350
4,60,288,2334
5,67,107,517
3,37,272,3539
0,147,225,2251
2,21,234,1581
2,77,104,457
0,44,302,4252
1,8,33,5
5,49,294,4249
2,42,52,133
0,33,251,2261
3,51,254,3885
0,15,132,807
5,38,180,2054
3,18,220,3450
5,27,86,205
4,20,54,165
0,46,254,2898
3,60,107,346
5,19,188,2599
0,130,677,15870
4,28,215,2188
2,25,156,1364
2,39,154,587
2,20,54,165
3,25,247,2754
0,108,493,9419
3,62,473,14125
4,56,235,4905
2,95,88,318
0,35,324,5526
5,64,140,590
2,26,249,3630
0,41,151,1163
5,45,180,2054
4,29,174,1415
0,42,283,3293
0,116,196,1869
4,27,131,271
4,16,119,395
0,215,429,6760
0,81,244,3292
2,68,473,14125
2,38,234,2464
0,12,160,934
3,79,540,8870
4,80,176,1922
5,40,223,2822
3,37,224,2192
3,15,196,1885
2,8,33,5
0,13,89,762
0,29,127,618
0,59,229,2391
0,110,654,16421
0,12,212,1365
0,38,224,1697
1,8,33,5
5,61,107,517
0,33,105,371
4,27,194,1521
5,55,294,4249
1,35,183,931
4,72,193,2118
3,126,88,318
2,17,79,292
3,68,473,14125
2,20,54,165
3,59,176,1922
1,8,33,5
5,39,180,2054
5,20,72,340
4,31,220,3450
2,16,79,292
5,149,281,4061
0,83,160,735
3,34,71,249
4,87,156,1521
5,108,208,1691
0,9,64,266
2,64,235,4905
0,211,364,4157
0,135,183,1163
4,43,214,1469
4,42,156,654
4,33,156,654
0,20,123,520
0,192,381,7710
2,92,33,5
3,99,537,8350
2,8,105,765
4,25,131,271
0,65,271,3972
2,20,54,165
0,7,109,654
0,29,187,1069
5,128,217,2904
1,24,85,343
4,48,107,346
4,101,217,2904
0,38,407,6409
2,138,217,2904
4,22,174,1415
4,19,138,554
2,64,107,346
0,19,207,2895
3,11,86,205
0,200,807,40369
4,35,179,1626
0,234,361,6176
0,120,430,5126
5,16,76,147
2,43,235,4905
0,30,153,978
3,74,540,8870
4,24,111,453
0,23,137,488
5,58,294,4249
0,25,198,2127
2,77,104,457
4,5,63,166
4,59,136,619
0,13,216,2329
2,90,139,587
2,76,142,844
0,77,436,5858
0,100,770,17713
3,76,142,844
0,110,511,11126
2,20,54,165
0,22,157,1108
3,21,138,554
4,28,174,1415
4,40,67,224
4,70,176,1922
3,42,214,1469
2,13,88,292
0,373,546,12353
5,32,131,271
4,34,71,249
5,50,180,2054
3,27,215,2188
3,21,220,3450
4,24,131,271
4,54,272,3539
4,69,120,809
3,52,67,224
4,29,86,205
3,42,315,5844
3,72,540,8870
2,123,88,318
3,87,540,8870
1,8,33,5
0,46,304,3461
5,43,196,1997
3,29,156,1364
0,40,288,2826
4,25,216,2677
0,55,193,982
2,12,79,317
3,63,254,3885
0,31,246,3367
4,162,308,6057
4,24,174,1415
4,63,223,2822
4,121,208,1691
0,27,275,4151
4,24,179,1626
3,0,40,100
3,75,172,973
2,15,88,292
4,55,288,2334
0,36,336,5220
4,112,449,5537
0,158,498,8488
3,80,540,8870
4,33,157,1519
0,14,121,487
1,123,247,3373
0,130,321,4343
3,98,537,8350
3,46,234,1581
0,65,467,9010
5,115,209,2534
0,40,240,2327
4,48,196,1997
4,35,77,205
5,36,262,3211
5,55,156,1364
3,29,138,554
3,39,234,2464
3,9,109,689
3,124,88,318
0,42,280,2678
4,74,271,4426
0,29,314,3626
2,92,33,5
4,19,216,2677
3,100,159,2181
5,68,320,3466
3,35,193,2118
3,128,217,2904
5,54,288,2334
4,45,180,2054
0,113,173,1158
3,64,107,346
0,22,137,849
2,84,128,693
4,51,93,545
4,14,76,147
3,30,166,1111
0,5,145,773
4,40,156,654
0,119,254,2066
0,36,250,2062
2,101,130,490
1,147,247,3373
3,163,305,2610
4,77,288,2334
5,21,72,340
4,46,215,2188
3,15,109,689
5,74,320,3466
4,65,224,2192
4,84,176,1922
0,64,392,11108
4,45,93,545
4,71,101,249
0,96,389,5536
3,75,388,6290
4,75,176,1922
3,99,537,8350
2,63,352,6744
0,101,209,2602
3,106,205,1751
3,17,109,689
0,21,163,1018
0,55,261,3136
4,70,107,517
2,61,224,2192
0,23,146,1066
3,59,107,346
0,8,79,453
2,37,154,587
0,204,276,3876
3,50,322,4619
3,97,537,8350
0,18,193,2056
3,33,96,804
2,96,33,5
0,123,199,1696
3,23,220,3450
3,58,107,346
0,55,154,1572
2,33,235,4905
3,14,96,804
5,75,172,973
0,8,119,346
4,28,166,1414
2,37,183,931
0,9,81,317
4,26,148,729
